9. July 2011 | 16:37:35 | JunkBuster has successfully been loaded.
9. July 2011 | 16:39:32 | Current JunkBuster configuration:
9. July 2011 | 16:39:32 | - WeaponHack = 1
9. July 2011 | 16:39:32 | - MoneyHack = 1
9. July 2011 | 16:39:32 | - Jetpack = 1
9. July 2011 | 16:39:32 | - HealthHack = 1
9. July 2011 | 16:39:32 | - ArmourHack = 1
9. July 2011 | 16:39:32 | - DriveBy = 1
9. July 2011 | 16:39:32 | - Spam = 0
9. July 2011 | 16:39:32 | - CommandSpam = 0
9. July 2011 | 16:39:32 | - BadWords = 0
9. July 2011 | 16:39:32 | - CarJackHack = 1
9. July 2011 | 16:39:32 | - TeleportHack = 1
9. July 2011 | 16:39:32 | - MaxPing = 500
9. July 2011 | 16:39:32 | - SpectateHack = 0
9. July 2011 | 16:39:32 | - Blacklist = 1
9. July 2011 | 16:39:32 | - IpBans = 1
9. July 2011 | 16:39:32 | - TempBans = 1
9. July 2011 | 16:39:32 | - SpawnKill = 3
9. July 2011 | 16:39:32 | - CapsLock = 0
9. July 2011 | 16:39:32 | - 3DSpeed = 0
9. July 2011 | 16:39:32 | - MaxSpeed = 240
9. July 2011 | 16:39:32 | - AdminImmunity = 1
9. July 2011 | 16:39:32 | - Advertisement = 1
9. July 2011 | 16:39:32 | - FreezeUpdate = 0
9. July 2011 | 16:39:32 | - SpawnTime = 10
9. July 2011 | 16:39:32 | - CheckpointTeleport = 0
9. July 2011 | 16:39:32 | - Airbreak = 1
9. July 2011 | 16:39:32 | - TankMode = 1
9. July 2011 | 16:39:32 | - WarnPlayers = 0
9. July 2011 | 16:39:32 | - SingleplayerCheats = 1
9. July 2011 | 16:39:32 | - MinFPS = 0
9. July 2011 | 16:39:32 | - DisableBadWeapons = 1
9. July 2011 | 16:39:32 | - CBug = 12
9. July 2011 | 16:39:32 | - AntiBugKill = 1
9. July 2011 | 16:39:32 | - NoReload = 20
9. July 2011 | 16:39:32 | 1 IP-bans have been loaded.
9. July 2011 | 16:39:32 | 0 temporary bans have been loaded.
9. July 2011 | 16:39:32 | 5 whitelist entries have been loaded.
9. July 2011 | 16:39:32 | 4 blacklist entries have been loaded.
9. July 2011 | 16:39:32 | 41 bad words have been loaded.
9. July 2011 | 16:39:32 | 4 forbidden weapons have been loaded.
9. July 2011 | 16:39:32 | JunkBuster has been configurated.
9. July 2011 | 16:39:32 | JunkBuster has successfully been loaded.
9. July 2011 | 16:47:23 | Current JunkBuster configuration:
9. July 2011 | 16:47:23 | - WeaponHack = 1
9. July 2011 | 16:47:23 | - MoneyHack = 1
9. July 2011 | 16:47:23 | - Jetpack = 1
9. July 2011 | 16:47:23 | - HealthHack = 1
9. July 2011 | 16:47:23 | - ArmourHack = 1
9. July 2011 | 16:47:23 | - DriveBy = 1
9. July 2011 | 16:47:23 | - Spam = 0
9. July 2011 | 16:47:23 | - CommandSpam = 0
9. July 2011 | 16:47:23 | - BadWords = 0
9. July 2011 | 16:47:23 | - CarJackHack = 1
9. July 2011 | 16:47:23 | - TeleportHack = 1
9. July 2011 | 16:47:23 | - MaxPing = 500
9. July 2011 | 16:47:23 | - SpectateHack = 0
9. July 2011 | 16:47:23 | - Blacklist = 1
9. July 2011 | 16:47:23 | - IpBans = 1
9. July 2011 | 16:47:23 | - TempBans = 1
9. July 2011 | 16:47:23 | - SpawnKill = 3
9. July 2011 | 16:47:23 | - CapsLock = 0
9. July 2011 | 16:47:23 | - 3DSpeed = 0
9. July 2011 | 16:47:23 | - MaxSpeed = 240
9. July 2011 | 16:47:23 | - AdminImmunity = 1
9. July 2011 | 16:47:23 | - Advertisement = 1
9. July 2011 | 16:47:23 | - FreezeUpdate = 0
9. July 2011 | 16:47:23 | - SpawnTime = 10
9. July 2011 | 16:47:23 | - CheckpointTeleport = 0
9. July 2011 | 16:47:23 | - Airbreak = 1
9. July 2011 | 16:47:23 | - TankMode = 1
9. July 2011 | 16:47:23 | - WarnPlayers = 0
9. July 2011 | 16:47:23 | - SingleplayerCheats = 1
9. July 2011 | 16:47:23 | - MinFPS = 0
9. July 2011 | 16:47:23 | - DisableBadWeapons = 1
9. July 2011 | 16:47:23 | - CBug = 12
9. July 2011 | 16:47:23 | - AntiBugKill = 1
9. July 2011 | 16:47:23 | - NoReload = 20
9. July 2011 | 16:47:23 | 1 IP-bans have been loaded.
9. July 2011 | 16:47:23 | 0 temporary bans have been loaded.
9. July 2011 | 16:47:23 | 5 whitelist entries have been loaded.
9. July 2011 | 16:47:23 | 4 blacklist entries have been loaded.
9. July 2011 | 16:47:23 | 41 bad words have been loaded.
9. July 2011 | 16:47:23 | 4 forbidden weapons have been loaded.
9. July 2011 | 16:47:23 | JunkBuster has been configurated.
9. July 2011 | 16:47:23 | JunkBuster has successfully been loaded.
9. July 2011 | 16:47:49 | Current JunkBuster configuration:
9. July 2011 | 16:47:49 | - WeaponHack = 1
9. July 2011 | 16:47:49 | - MoneyHack = 1
9. July 2011 | 16:47:49 | - Jetpack = 1
9. July 2011 | 16:47:49 | - HealthHack = 1
9. July 2011 | 16:47:49 | - ArmourHack = 1
9. July 2011 | 16:47:49 | - DriveBy = 1
9. July 2011 | 16:47:49 | - Spam = 0
9. July 2011 | 16:47:49 | - CommandSpam = 0
9. July 2011 | 16:47:49 | - BadWords = 0
9. July 2011 | 16:47:49 | - CarJackHack = 1
9. July 2011 | 16:47:49 | - TeleportHack = 1
9. July 2011 | 16:47:49 | - MaxPing = 500
9. July 2011 | 16:47:49 | - SpectateHack = 0
9. July 2011 | 16:47:49 | - Blacklist = 1
9. July 2011 | 16:47:49 | - IpBans = 1
9. July 2011 | 16:47:49 | - TempBans = 1
9. July 2011 | 16:47:49 | - SpawnKill = 3
9. July 2011 | 16:47:49 | - CapsLock = 0
9. July 2011 | 16:47:49 | - 3DSpeed = 0
9. July 2011 | 16:47:49 | - MaxSpeed = 240
9. July 2011 | 16:47:49 | - AdminImmunity = 1
9. July 2011 | 16:47:49 | - Advertisement = 1
9. July 2011 | 16:47:49 | - FreezeUpdate = 0
9. July 2011 | 16:47:49 | - SpawnTime = 10
9. July 2011 | 16:47:49 | - CheckpointTeleport = 0
9. July 2011 | 16:47:49 | - Airbreak = 1
9. July 2011 | 16:47:49 | - TankMode = 1
9. July 2011 | 16:47:49 | - WarnPlayers = 0
9. July 2011 | 16:47:49 | - SingleplayerCheats = 1
9. July 2011 | 16:47:49 | - MinFPS = 0
9. July 2011 | 16:47:49 | - DisableBadWeapons = 1
9. July 2011 | 16:47:49 | - CBug = 12
9. July 2011 | 16:47:49 | - AntiBugKill = 1
9. July 2011 | 16:47:49 | - NoReload = 20
9. July 2011 | 16:47:49 | 1 IP-bans have been loaded.
9. July 2011 | 16:47:49 | 0 temporary bans have been loaded.
9. July 2011 | 16:47:49 | 5 whitelist entries have been loaded.
9. July 2011 | 16:47:49 | 4 blacklist entries have been loaded.
9. July 2011 | 16:47:49 | 41 bad words have been loaded.
9. July 2011 | 16:47:49 | 4 forbidden weapons have been loaded.
9. July 2011 | 16:47:49 | JunkBuster has been configurated.
9. July 2011 | 16:47:49 | JunkBuster has successfully been loaded.
9. July 2011 | 16:51:25 | Current JunkBuster configuration:
9. July 2011 | 16:51:25 | - WeaponHack = 1
9. July 2011 | 16:51:25 | - MoneyHack = 1
9. July 2011 | 16:51:25 | - Jetpack = 1
9. July 2011 | 16:51:25 | - HealthHack = 1
9. July 2011 | 16:51:25 | - ArmourHack = 1
9. July 2011 | 16:51:25 | - DriveBy = 1
9. July 2011 | 16:51:25 | - Spam = 0
9. July 2011 | 16:51:25 | - CommandSpam = 0
9. July 2011 | 16:51:25 | - BadWords = 0
9. July 2011 | 16:51:25 | - CarJackHack = 1
9. July 2011 | 16:51:25 | - TeleportHack = 1
9. July 2011 | 16:51:25 | - MaxPing = 500
9. July 2011 | 16:51:25 | - SpectateHack = 0
9. July 2011 | 16:51:25 | - Blacklist = 1
9. July 2011 | 16:51:25 | - IpBans = 1
9. July 2011 | 16:51:25 | - TempBans = 1
9. July 2011 | 16:51:25 | - SpawnKill = 3
9. July 2011 | 16:51:25 | - CapsLock = 0
9. July 2011 | 16:51:25 | - 3DSpeed = 0
9. July 2011 | 16:51:25 | - MaxSpeed = 240
9. July 2011 | 16:51:25 | - AdminImmunity = 1
9. July 2011 | 16:51:25 | - Advertisement = 1
9. July 2011 | 16:51:25 | - FreezeUpdate = 0
9. July 2011 | 16:51:25 | - SpawnTime = 10
9. July 2011 | 16:51:25 | - CheckpointTeleport = 0
9. July 2011 | 16:51:25 | - Airbreak = 1
9. July 2011 | 16:51:25 | - TankMode = 1
9. July 2011 | 16:51:25 | - WarnPlayers = 0
9. July 2011 | 16:51:25 | - SingleplayerCheats = 1
9. July 2011 | 16:51:25 | - MinFPS = 0
9. July 2011 | 16:51:25 | - DisableBadWeapons = 1
9. July 2011 | 16:51:25 | - CBug = 12
9. July 2011 | 16:51:25 | - AntiBugKill = 1
9. July 2011 | 16:51:25 | - NoReload = 20
9. July 2011 | 16:51:25 | 1 IP-bans have been loaded.
9. July 2011 | 16:51:25 | 0 temporary bans have been loaded.
9. July 2011 | 16:51:25 | 5 whitelist entries have been loaded.
9. July 2011 | 16:51:25 | 4 blacklist entries have been loaded.
9. July 2011 | 16:51:25 | 41 bad words have been loaded.
9. July 2011 | 16:51:25 | 4 forbidden weapons have been loaded.
9. July 2011 | 16:51:25 | JunkBuster has been configurated.
9. July 2011 | 16:51:25 | JunkBuster has successfully been loaded.
9. July 2011 | 16:55:40 | Current JunkBuster configuration:
9. July 2011 | 16:55:40 | - WeaponHack = 1
9. July 2011 | 16:55:40 | - MoneyHack = 1
9. July 2011 | 16:55:40 | - Jetpack = 1
9. July 2011 | 16:55:40 | - HealthHack = 1
9. July 2011 | 16:55:40 | - ArmourHack = 1
9. July 2011 | 16:55:40 | - DriveBy = 1
9. July 2011 | 16:55:40 | - Spam = 0
9. July 2011 | 16:55:40 | - CommandSpam = 0
9. July 2011 | 16:55:40 | - BadWords = 0
9. July 2011 | 16:55:40 | - CarJackHack = 1
9. July 2011 | 16:55:40 | - TeleportHack = 1
9. July 2011 | 16:55:40 | - MaxPing = 500
9. July 2011 | 16:55:40 | - SpectateHack = 0
9. July 2011 | 16:55:40 | - Blacklist = 1
9. July 2011 | 16:55:40 | - IpBans = 1
9. July 2011 | 16:55:40 | - TempBans = 1
9. July 2011 | 16:55:40 | - SpawnKill = 3
9. July 2011 | 16:55:40 | - CapsLock = 0
9. July 2011 | 16:55:40 | - 3DSpeed = 0
9. July 2011 | 16:55:40 | - MaxSpeed = 240
9. July 2011 | 16:55:40 | - AdminImmunity = 1
9. July 2011 | 16:55:40 | - Advertisement = 1
9. July 2011 | 16:55:40 | - FreezeUpdate = 0
9. July 2011 | 16:55:40 | - SpawnTime = 10
9. July 2011 | 16:55:40 | - CheckpointTeleport = 0
9. July 2011 | 16:55:40 | - Airbreak = 1
9. July 2011 | 16:55:40 | - TankMode = 1
9. July 2011 | 16:55:40 | - WarnPlayers = 0
9. July 2011 | 16:55:40 | - SingleplayerCheats = 1
9. July 2011 | 16:55:40 | - MinFPS = 0
9. July 2011 | 16:55:40 | - DisableBadWeapons = 1
9. July 2011 | 16:55:40 | - CBug = 12
9. July 2011 | 16:55:40 | - AntiBugKill = 1
9. July 2011 | 16:55:40 | - NoReload = 20
9. July 2011 | 16:55:40 | 1 IP-bans have been loaded.
9. July 2011 | 16:55:40 | 0 temporary bans have been loaded.
9. July 2011 | 16:55:40 | 5 whitelist entries have been loaded.
9. July 2011 | 16:55:40 | 4 blacklist entries have been loaded.
9. July 2011 | 16:55:40 | 41 bad words have been loaded.
9. July 2011 | 16:55:40 | 4 forbidden weapons have been loaded.
9. July 2011 | 16:55:40 | JunkBuster has been configurated.
9. July 2011 | 16:55:40 | JunkBuster has successfully been loaded.
9. July 2011 | 16:56:31 | Suspected player with airbreak: Ancez_Tamas (0), height: 25.08, ~696 KM/H, vehicle: Unknown.
9. July 2011 | 16:56:34 | Suspected player with airbreak: Ancez_Tamas (0), height: 25.08, ~750 KM/H, vehicle: Unknown.
1. Septembre 2011 | 18:17:05 | Current JunkBuster configuration:
1. Septembre 2011 | 18:17:05 | - WeaponHack = 1
1. Septembre 2011 | 18:17:05 | - MoneyHack = 1
1. Septembre 2011 | 18:17:05 | - Jetpack = 1
1. Septembre 2011 | 18:17:05 | - HealthHack = 1
1. Septembre 2011 | 18:17:05 | - ArmourHack = 1
1. Septembre 2011 | 18:17:05 | - DriveBy = 1
1. Septembre 2011 | 18:17:05 | - Spam = 0
1. Septembre 2011 | 18:17:05 | - CommandSpam = 0
1. Septembre 2011 | 18:17:05 | - BadWords = 0
1. Septembre 2011 | 18:17:05 | - CarJackHack = 1
1. Septembre 2011 | 18:17:05 | - TeleportHack = 1
1. Septembre 2011 | 18:17:05 | - MaxPing = 500
1. Septembre 2011 | 18:17:05 | - SpectateHack = 0
1. Septembre 2011 | 18:17:05 | - Blacklist = 1
1. Septembre 2011 | 18:17:05 | - IpBans = 1
1. Septembre 2011 | 18:17:05 | - TempBans = 1
1. Septembre 2011 | 18:17:05 | - SpawnKill = 3
1. Septembre 2011 | 18:17:05 | - CapsLock = 0
1. Septembre 2011 | 18:17:05 | - 3DSpeed = 0
1. Septembre 2011 | 18:17:05 | - MaxSpeed = 240
1. Septembre 2011 | 18:17:05 | - AdminImmunity = 1
1. Septembre 2011 | 18:17:05 | - Advertisement = 1
1. Septembre 2011 | 18:17:05 | - FreezeUpdate = 0
1. Septembre 2011 | 18:17:05 | - SpawnTime = 10
1. Septembre 2011 | 18:17:05 | - CheckpointTeleport = 0
1. Septembre 2011 | 18:17:05 | - Airbreak = 1
1. Septembre 2011 | 18:17:05 | - TankMode = 1
1. Septembre 2011 | 18:17:05 | - WarnPlayers = 0
1. Septembre 2011 | 18:17:05 | - SingleplayerCheats = 1
1. Septembre 2011 | 18:17:05 | - MinFPS = 0
1. Septembre 2011 | 18:17:05 | - DisableBadWeapons = 1
1. Septembre 2011 | 18:17:05 | - CBug = 12
1. Septembre 2011 | 18:17:05 | - AntiBugKill = 1
1. Septembre 2011 | 18:17:05 | - NoReload = 20
1. Septembre 2011 | 18:17:05 | 1 IP-bans have been loaded.
1. Septembre 2011 | 18:17:05 | 0 temporary bans have been loaded.
1. Septembre 2011 | 18:17:05 | 5 whitelist entries have been loaded.
1. Septembre 2011 | 18:17:05 | 4 blacklist entries have been loaded.
1. Septembre 2011 | 18:17:05 | 41 bad words have been loaded.
1. Septembre 2011 | 18:17:05 | 4 forbidden weapons have been loaded.
1. Septembre 2011 | 18:17:05 | JunkBuster has been configurated.
1. Septembre 2011 | 18:17:05 | JunkBuster has successfully been loaded.
1. Septembre 2011 | 18:24:19 | Current JunkBuster configuration:
1. Septembre 2011 | 18:24:19 | - WeaponHack = 1
1. Septembre 2011 | 18:24:19 | - MoneyHack = 1
1. Septembre 2011 | 18:24:19 | - Jetpack = 1
1. Septembre 2011 | 18:24:19 | - HealthHack = 1
1. Septembre 2011 | 18:24:19 | - ArmourHack = 1
1. Septembre 2011 | 18:24:19 | - DriveBy = 1
1. Septembre 2011 | 18:24:19 | - Spam = 0
1. Septembre 2011 | 18:24:19 | - CommandSpam = 0
1. Septembre 2011 | 18:24:19 | - BadWords = 0
1. Septembre 2011 | 18:24:19 | - CarJackHack = 1
1. Septembre 2011 | 18:24:19 | - TeleportHack = 1
1. Septembre 2011 | 18:24:19 | - MaxPing = 500
1. Septembre 2011 | 18:24:19 | - SpectateHack = 0
1. Septembre 2011 | 18:24:19 | - Blacklist = 1
1. Septembre 2011 | 18:24:19 | - IpBans = 1
1. Septembre 2011 | 18:24:19 | - TempBans = 1
1. Septembre 2011 | 18:24:19 | - SpawnKill = 3
1. Septembre 2011 | 18:24:19 | - CapsLock = 0
1. Septembre 2011 | 18:24:19 | - 3DSpeed = 0
1. Septembre 2011 | 18:24:19 | - MaxSpeed = 240
1. Septembre 2011 | 18:24:19 | - AdminImmunity = 1
1. Septembre 2011 | 18:24:19 | - Advertisement = 1
1. Septembre 2011 | 18:24:19 | - FreezeUpdate = 0
1. Septembre 2011 | 18:24:19 | - SpawnTime = 10
1. Septembre 2011 | 18:24:19 | - CheckpointTeleport = 0
1. Septembre 2011 | 18:24:19 | - Airbreak = 1
1. Septembre 2011 | 18:24:19 | - TankMode = 1
1. Septembre 2011 | 18:24:19 | - WarnPlayers = 0
1. Septembre 2011 | 18:24:19 | - SingleplayerCheats = 1
1. Septembre 2011 | 18:24:19 | - MinFPS = 0
1. Septembre 2011 | 18:24:19 | - DisableBadWeapons = 1
1. Septembre 2011 | 18:24:19 | - CBug = 12
1. Septembre 2011 | 18:24:19 | - AntiBugKill = 1
1. Septembre 2011 | 18:24:19 | - NoReload = 20
1. Septembre 2011 | 18:24:19 | 1 IP-bans have been loaded.
1. Septembre 2011 | 18:24:19 | 0 temporary bans have been loaded.
1. Septembre 2011 | 18:24:19 | 5 whitelist entries have been loaded.
1. Septembre 2011 | 18:24:19 | 4 blacklist entries have been loaded.
1. Septembre 2011 | 18:24:19 | 41 bad words have been loaded.
1. Septembre 2011 | 18:24:19 | 4 forbidden weapons have been loaded.
1. Septembre 2011 | 18:24:19 | JunkBuster has been configurated.
1. Septembre 2011 | 18:24:19 | JunkBuster has successfully been loaded.
1. Septembre 2011 | 18:52:24 | Current JunkBuster configuration:
1. Septembre 2011 | 18:52:24 | - WeaponHack = 1
1. Septembre 2011 | 18:52:24 | - MoneyHack = 1
1. Septembre 2011 | 18:52:24 | - Jetpack = 1
1. Septembre 2011 | 18:52:24 | - HealthHack = 1
1. Septembre 2011 | 18:52:24 | - ArmourHack = 1
1. Septembre 2011 | 18:52:24 | - DriveBy = 1
1. Septembre 2011 | 18:52:24 | - Spam = 0
1. Septembre 2011 | 18:52:24 | - CommandSpam = 0
1. Septembre 2011 | 18:52:24 | - BadWords = 0
1. Septembre 2011 | 18:52:24 | - CarJackHack = 1
1. Septembre 2011 | 18:52:24 | - TeleportHack = 1
1. Septembre 2011 | 18:52:24 | - MaxPing = 500
1. Septembre 2011 | 18:52:24 | - SpectateHack = 0
1. Septembre 2011 | 18:52:24 | - Blacklist = 1
1. Septembre 2011 | 18:52:24 | - IpBans = 1
1. Septembre 2011 | 18:52:24 | - TempBans = 1
1. Septembre 2011 | 18:52:24 | - SpawnKill = 3
